sku,name,step,price_before_rub,price_after_rub,pv,inci,url,currency,region,source_category
R00267,Атоми Абсолют СеллАктив Питательный крем | Atomy Russia,,3000,2700,18000,"Camellia sinensis leaf water, narcissus tazetta bulb extract, glycerin, triethyl hexanoin, sohexadecane, dimethicone, sorbitan stearate, squalane, bifida ferment lysate, cetearyl alcohol 1,2-hexanediol, ocimum basilicum (basil) flower/leaf extract, pyrus malus (apple) fruit water, houttuynia cordata extract, anthemis nobilis flower extract, althaea officinalis leaf/root extract, lavandula angustifolia (lavender) flower/leaf/stem extract, rosmarinus officinalis (rosemary) extract, foeniculum vulgare (fennel) leaf extract, vegetable oil, caprylic/capric/succinic triglyceride, betaine, methylpropanediol, butylene glycol, palmitic acid, ulmus davidiana root extract, amaranthus caudatus seed extract, sorbitan sesquioleate, stearic acid, sucrose cocoate, dipropylene glycol, hydrogenated lecithin, laminaria japonicà extract, eclipta prostrata leaf extract, behenyl alcohol, pichia ferment lysate filtrate, camellia sinensis leaf extract, hydrogenated polyisobutene, tromethamine, sodium stearoyl glutamate, fragrance, phellinus linteus extract, glyceryl acrylate/acrylic acid copolymer,, beta glucan, polyquaternium-s1, argania spinosa kernel oil, isononyl isononanoate, polyglyceryl-10 stearate, avena sativa (oat) kernei, extract, cynara scolymus (artichoke) leaf extract, pteris multifida extract, glyceryl stearate se, cordyceps sinensis extract, saccharomyces/rice ferment filtrate, carbomer, butyrospermum parkii (shea butter, polyglyceryl-2 dipolyhydroxystearate, fructooligosaccharides, adenosine, disodium edta, melia azadirachta flower extract, ocimum sanctum leaf extract, cholesterol, melia azadirachta leaf extract, ceramide np, dipotassium glycyrrhizate, curcuma longa (turmeric) root extract, diospyros kaki leaf extract, polyglyceryl-10 laurate, propanediol, corallina officinalis extract, niacinamide, raffinose, dextrin, theobroma cacao (cocoa) seed extract, panthenol, inulin lauryl carbamate, hydrolyzed hyaluronic acid, myristic acid, pentylene glycol, hydrogenated polydecene, phospholipids, hydrogenated phosphatidylcholine, isostearyl isostearate, hydrolyzed lupine protein, phytosphingosine, disodium stearov, glutamate, ceramide ng, tocopheryl linoleate, folic acid, lactic acid/glycolic acid copolymer, palmitovl pentapeptide 4, polyvinyl alcohol, ethylhex/lglycerin, potassium cetyl phosphate, glyceryl, oleate, glycine, alanine, isoleucine, serine, arginine, proline, tyrosine, glutamine, lysine, valine, lecithin, tocopherol, aspartic acid.",https://www.atomy.ru/product/R00267,RUB,RU,https://www.atomy.ru/category?dispCtgNo=2504003386&sortType=POPULAR
R00275,Атоми Солнцезащитный Крем | Atomy Russia,,800,700,3000,"Aqua/water/eau, cyclopentasiloxane, ethylhexylmethoxycinnamate, zinc oxide, ethylhexylsalicylate, titanium dioxide, glycerin, dipropylene glycol, peg-10 dimethicone, dicaprylyl carbonate, disteardimonium hectorite, viscum album (mistletoe) leaf extract, centella asiatica extract, portulaca oleracea extract, tocopheryl acetate, camellia sinensis leaf extract, thymus vulgaris (thyme) oil, melissa officinalis extract, althaea officinalis leaf/root extract, perilla ocymoides leaf extract, borago officinalis extract, jasminum officinale (jasmine) extract, dimethicone, magnesium sulfate, aluminum hydroxide, bis-ethylhexyloxyphenol methoxyphenyl triazine, stearic acid, vinyl dimethicone/ methicone silsesquioxane crosspolymer, methicone, caprylyl glycol, polymethylsilsesquioxane, glyceryl caprylate, polyglyceryl-6 polyricinoleate, peg-9 polydimethylsiloxyethyl dimethicone, microcrystalline cellulose, dimethicone/ vinyl dimethicone crosspolymer, cellulose gum, fragrance(parfum), phenoxyethanol.",https://www.atomy.ru/product/R00275,RUB,RU,https://www.atomy.ru/category?dispCtgNo=2504003388&sortType=POPULAR
R00276,Атоми Абсолют Солнцезащитная Эссенция | Atomy Russia,,1100,1000,5000,"Water, ethylhexyl methoxycinnamate, ethylhexyl salicylate, butylene glycol, c12-15 alkyl benzoate, homosalate, diethylamino hydroxybenzoyl hexyl benzoate, octocrylene, titanium dioxide, 1,2-hexanediol, niacinamide, alcohol, hylocereus undatus fruit extract, c20-22 alkyl phosphate, c20-22 alcohols, silica, caprylyl methicone, curcuma longa (turmeric) root extract, salvia hispanica seed extract, glyceryl stearate, behenyl alcohol, aluminum stearate, polyhydroxystearic acid, sodium acrylate/sodium acryloyldimethyl taurate copolymer, tromethamine, isohexadecane, polysorbate 80, propanediol, saccharide hydrolysate, fragrance, polyacrylate crosspolymer-6, alumina, ethylhexylglycerin, glyceryl caprylate, octyldodecanol, xanthan gum, adenosine, portulaca oleracea extract, centella asiatica extract, houttuynia cordata extract, pichia ferment lysate filtrate, camellia sinensis leaf water, glycerin, echium plantagineum seed oil, iron oxides(ci 77492), diospyros kaki leaf extract, iron oxides(ci 77491), helianthus annuus (sunflower) seed oil, unsaponifiables, cardiospermum halicacabum flower/leaf/vine extract, hydrogenated lecithin, raffinose, pentylene glycol, panthenol, cholesterol, hydrolyzed lupine protein, ceramide np, lactic acid/glycolic acid copolymer, polyvinyl alcohol, serine, palmitic acid, glutamine, leucine, aspartic acid, alanine, isoleucine, glycine, glutamic acid, lysine, valine, arginine, tyrosine, phenylalanine, proline, histidine, tryptophan.",https://www.atomy.ru/product/R00276,RUB,RU,https://www.atomy.ru/category?dispCtgNo=2504003388&sortType=POPULAR
R00279,Атоми Абсолют Солнцезащитный Кушон | Atomy Russia,,1550,1400,9000,"aqua/water/eau, zinc oxide, triheptancin, c12-15 alkyl benzoate, phenyl trimeth cone, titan um dioxide, caprylyl methicone, butylene glycol, caprylic, capric triglyceride, niacinam de, methyl methacrylate crosspolymer, polyglyceryl 4 disosterate polyhydroxysterate/sebacate, propylheptyl. caprylate, vinyl dimethicone/methicone silsequioxane crosspolymer, magnesium sulfate, stellaria media chickieed extract, helianthus annuus /sunflower) flower extract, hylocereus undatus fruit extract, vaccinium vitis-daea fruit extract, lespedeza capitatà leaf/stem extract, aloe barbadensis leaf extract, althaea rosea flower extract, solidago virgaurea (goldenrod) extract, eugenia caryophyllus clove) bud extract, hydrogenated lecithin, camellia sinensis leaf water, stearic acid, aluminum hydroxide triethoxycaprylylsilane, disostearyl malate, polygly ceryl-6 polyricinoleate, dicaprylyl carbonate, glyceryl caprylate caprylyl glycol, disteardimonium hectorite, ethylhexylglycerin, adenosine, mica, propanediol 1,2-hexanediol, polymethylsilsesquioxane, silica, tocopherol, glycerin, cerium oxide, hydrogen dinethicone, madecassic acid, asiaticoside, asiatic acid, polyhydroxystearic acid, raffinose, pentylene glycol, panthenol cholesterol, hydrolyzed lupine protein potassium metabisulfite ceramide np, tromethamine glycolic acid, lactic acid, polyvinyl alcohol, palmitic acid, serine, glutamine, leucine, aspartic acid, isoleucine, alanine, glycine, glutamic acid, lysine, arginine, phenylalanine, proline, histidine, valine, tyrosine, tryptophan, fragrance (parfumi, iron oxides/ci 71492), iron oxides c 77491), iron oxides 0/7/435).",https://www.atomy.ru/product/R00279,RUB,RU,https://www.atomy.ru/category?dispCtgNo=2504003388&sortType=POPULAR
R00285,Атоми Солнцезащитный крем (тонирующий) | Atomy Russia,,800,700,3000,"Aqua/water/eau, cyclopentasiloxane, ethylhexyl methoxycinnamate, zinc oxide, ethylhexyl salicylate, titanium dioxide, glycerin, dipropylene glycol, peg-10 dimethicone, dicaprylyl carbonate, disteardimonium hectorite, viscum album (mistletoe) leaf extract, centella asiatica extract, portulaca oleracea extract, tocopheryl acetate, camellia sinensis leaf extract, thymus vulgaris (thyme) oil, melissa officinalis extract, althaea officinalis leaf/root extract, perilla ocymoides leaf extract, borago officinalis extract, jasminum officinale (jasmine) extract, magnesium sulfate, dimethicone, aluminum hydroxide, bis-ethylhexyloxyphenol methoxyphenyl triazine, mica, stearic acid, methicone, vinyl dimethicone/methicone silsesquioxane crosspolymer, caprylyl glycol, dimethicone/ vinyl dimethicone crosspolymer, polymethylsilsesquioxane, glyceryl caprylate, polyglyceryl-6 polyricinoleate, peg-9 polydimethylsiloxyethyl dimethicone, microcrystalline cellulose, cellulose gum, aminopropyl dimethicone, triethoxycaprylylsilane, fragrance(parfum), phenoxyethanol, iron oxides(ci 77492), iron oxides(ci 77491), iron oxides(ci 77499).",https://www.atomy.ru/product/R00285,RUB,RU,https://www.atomy.ru/category?dispCtgNo=2504003388&sortType=POPULAR
R00286,Атоми Солнцезащитный Стик | Atomy Russia,,900,800,4000,"Butylene glycol dicaprylate/dicaprate, octyldodecanol, propylheptyl caprylate, octocrylene, ethylhexyl methoxycinnamate, dicaprylyl carbonate, ethylhexyl salicylate, dibutyl lauroyl glutamide, dibutyl ethylhexanoyl glutamide, bis-ethylhexyloxyphenol methoxyphenyl triazine, diethylamino hydroxybenzoyl hexyl benzoate, tocopheryl acetate, silica, dextrin palmitate, polyamide-8, bisabolol, citrus aurantium dulcis (orange) oil, citrus nobilis (mandarin orange) peel oil, dehydroacetic acid, echium plantagineum seed oil, litsea cubeba fruit oil, pentaerythrityl tetra-di-t-butyl, hydroxyhydrocinnamate, cardiospermum halicacabum flower/leaf/vine extract, helianthus annuus (sunflower) seed oil unsaponifiables, diospyros kaki leaf extract, glycerin, aqua/water/eau, pancratium maritimum extract.",https://www.atomy.ru/product/R00286,RUB,RU,https://www.atomy.ru/category?dispCtgNo=2504003388&sortType=POPULAR
R00289,Атоми Абсолют BB | Atomy Russia,,1550,1400,8000,"Water, cyclopentasiloxane, titanium dioxide, zinc oxide, ethylhexyl methoxycinnamate, ethylhexyl salicylate, isododecane, methylpropanediol, lauryl peg-10 tris(trimethylsiloxy)silylethyl dimethicone, glycerin, niacinamide, caprylyl methicone, diisostearyl malate, diphenylsiloxy phenyl trimethicone, tridecyl trimellitate, dimethicone/vinyl dimethicone, crosspolymer, c12-15 alkyl benzoate, dimethicone, disteardimonium hectorite, magnesium sulfate, hylocereus undatus fruit extract, iron oxides(ci 77492), triethoxycaprylylsilane, silica dimethyl silylate, acrylates/dimethicone copolymer, aluminum hydroxide, silica, caprylyl glycol, glyceryl caprylate, polyglyceryl-6 polyricinoleate, tribehenin, iron oxides(ci 77491), fragrance, ethylhexylglycerin, allantoin, tocopheryl acetate, iron oxides(ci 77499), disodium stearoyl glutamate, adenosine, sodium hyaluronate, pichia ferment lysate filtrate, camellia sinensis leaf water, hydrogenated lecithin, propanediol, tocopherol, pentylene glycol, raffinose, panthenol, cholesterol, hibiscus sabdariffa flower extract, hydrolyzed lupine protein, persea gratissima (avocado) oil, oryza sativa (rice) bran oil, vegetable oil, helianthus annuus (sunflower) seed wax, oryza sativa (rice) bran wax, rhus succedanea fruit wax, ceramide NP, tromethamine, lactic acid/glycolic acid copolymer, alanine, arginine, ascorbyl palmitate, aspartic acid, glutamic acid, glutamine, glycine, histidine, isoleucine, leucine, lysine, palmitic acid, phenylalanine, polyvinyl alcohol, proline, serine, tryptophan, tyrosine, valine.",https://www.atomy.ru/product/R00289,RUB,RU,https://www.atomy.ru/category?dispCtgNo=2504003387&sortType=POPULAR
R00305,Атоми Ивнинг Кеар Пенка для умывания | Atomy Russia,,850,750,3000,"Glycerin, myristic acid, aqua/water/eau, butylene glycol, potassium cocoyl glycinate, potassium hydroxide, stearic acid, cocamidopropyl betaine, lauric acid, sodium methyl cocoyl taurate, peg-40 stearate, glyceryl stearate, peg-100 stearate, fragrance(parfum),cordyceps sinensis extract, phellinus linteus/rice ferment extract, phellinus linteus extract, sophora angustifolia root extract, rheum palmatum root/stalk extract, scutellaria baicalensis root extract, phellodendron amurense bark extract, lavandula angustifolia (lavender) flower/leaf/stem extract, rosmarinus officinalis (rosemary) extract, althaea officinalis leaf/root extract, ocimum basilicum (basil) flower/leaf extract, houttuynia cordata extract, anthemis nobilis flower extract, foeniculum vulgare (fennel) leaf extract, pyrus malus (apple) fruit water, tocopheryl acetate, beta-glucan, trisodium edia, 1,2-hexanediol.",https://www.atomy.ru/product/R00305,RUB,RU,https://www.atomy.ru/category?dispCtgNo=2504003386&sortType=POPULAR
R00315,Атоми Ивнинг Кеар Пилинг Гель | Atomy Russia,,850,750,3000,,https://www.atomy.ru/product/R00315,RUB,RU,https://www.atomy.ru/category?dispCtgNo=2504003386&sortType=POPULAR
R00325,Атоми Ивнинг Кеар Очищение | Atomy Russia,,850,750,3000,"Mineral oil, aqua/water/eau, propylene glycol, petrolatum, isopropyl myristate, polysorbate 60, cetyl alcohol, glyceryl stearate, caprylic/capric triglyceride, peg-100 stearate, centella asiatica extract, ficus carica (fig) fruit extract, daucus carota sativa (carrot) root extract, ginkgo biloba leaf extract, panax ginseng root extract, macadamia ternifolia seed oil, camellia sinensis leaf water, hydrogenated lecithin, dimethicone, beeswax, sorbitan stearate, sorbitan sesquioleate, carbomer, tromethamine, disodium edta, tocopheryl acetate, stearyl glycyrrhetinate, ceramide np, fragrance(parfum), 1,2-hexanediol, phenoxyethanol, ethylhexylglycerin.",https://www.atomy.ru/product/R00325,RUB,RU,https://www.atomy.ru/category?dispCtgNo=2504003386&sortType=POPULAR
